시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,폐교명,폐교연도,학교급구분명,활용현황구분명,건물연면적,대지,담당자 부서명,담당자 전화번호,소재지도로명주소,소재지지번주소,데이터기준일자,제공기관코드,제공기관명
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,성산초 보광분교장,1998,초등학교,대부,466.65,115445,행정과,033-640-3366,,강원특별자치도 강릉시 성산면 보광리 308,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,제비초등학교,1999,초등학교,대부,889.5,198643,행정과,033-640-3366,,강원특별자치도 강릉시 구정면 제비리 504,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,연곡초 퇴곡분교장,2000,초등학교,대부,838.65,611654,행정과,033-640-3366,,강원특별자치도 강릉시 연곡면 퇴곡리 225,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,성덕초 병산분교장,2004,초등학교,자체활용,1025.54,14035,행정과,033-640-3366,,강원특별자치도 강릉시 병산동 445-5,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,왕산초 고단분교장,2010,초등학교,대부,771,38804,행정과,033-640-3366,,강원특별자치도 강릉시 왕산면 고단리 32-18,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,옥계초 남양분교장,2011,초등학교,대부,892,114967,행정과,033-640-3366,,강원특별자치도 강릉시 옥계면 남양리 528,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,사천초 사기막분교장,1996,초등학교,미활용,372.38,10841,행정과,033-640-3366,,강원특별자치도 강릉시 사천면 사기막리 534-2,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,연곡초 삼산분교장,1999,초등학교,미활용,791.78,8795,행정과,033-640-3366,,강원특별자치도 강릉시 연곡면 삼산리 739,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7832000,강릉교육지원청,51,강원특별자치도,150,강릉시,신왕초 부연분교장,2007,초등학교,미활용,273.84,2909,행정과,033-640-3366,,강원특별자치도 강릉시 연곡면 삼산리 1279,2023-07-01,7801000,강원특별자치도교육청
7801000,강원특별자치도교육청,7863000,속초양양교육지원청,51,강원특별자치도,830,양양군,현성초 면옥치분교장,1997,초등학교,대부,318.17,4669,행정과,033-639-6083,,강원특별자치도 양양군 현북면 면옥치리 141,2023-07-01,7801000,강원특별자치도교육청
